obj,rel,sbj
63,3,38
62,3,57
66,3,1
84,3,2
100,3,15
96,3,15
82,3,48
100,3,78
35,3,24
64,3,53
16,3,12
37,3,7
22,3,16
43,3,5
64,3,59
98,3,49
92,3,81
51,3,10
63,3,60
69,3,5
92,3,88
61,3,51
67,3,15
67,3,66
99,3,62
98,3,96
75,3,11
100,3,37
35,3,3
100,3,29
44,3,26
102,3,57
97,3,95
61,3,57
65,3,39
50,3,23
40,3,11
24,3,3
26,3,18
77,3,64
25,3,18
68,3,64
99,3,14
60,3,14
80,3,34
81,3,53
12,3,3
74,3,46
59,3,15
27,3,21
101,3,97
73,3,0
72,3,44
98,3,52
67,3,16
67,3,32
74,3,25
29,3,24
81,3,56
62,3,2
7,3,0
55,3,26
78,3,70
66,3,22
56,3,48
22,3,21
53,3,15
74,3,62
84,3,57
50,3,31
73,3,7
41,3,9
77,3,15
79,3,1
57,3,14
55,3,19
65,3,60
91,3,48
72,3,23
42,3,21
54,3,11
25,3,19
64,3,32
57,3,10
63,3,11
43,3,34
63,3,14
103,3,6
101,3,95
73,3,29
62,3,41
57,3,5
64,3,36
66,3,49
95,3,62
98,3,89
70,3,16
38,3,14
85,3,34
74,3,65
54,3,4
79,3,22
20,3,19
35,3,12
40,3,39
78,3,59
38,3,10
93,3,82
89,3,33
65,3,28
77,3,32
33,3,22
68,3,66
30,3,2
52,3,22
95,3,11
83,3,48
44,3,18
55,3,25
99,3,65
88,3,1
5,3,2
60,3,26
96,3,59
79,3,12
79,3,68
63,3,4
22,3,1
40,3,13
60,3,2
84,3,75
101,3,99
22,3,12
21,3,16
69,3,54
87,3,85
84,3,43
18,3,2
68,3,53
80,3,63
88,3,37
50,3,19
102,3,101
102,3,28
90,3,27
53,3,8
68,3,17
59,3,42
101,3,28
67,3,22
60,3,58
86,3,34
51,3,38
87,3,34
61,3,39
92,3,37
96,3,35
52,3,21
54,3,14
29,3,21
74,3,58
99,3,54
98,3,16
89,3,35
73,3,8
35,3,33
87,3,56
86,3,85
73,3,52
63,3,54
102,3,14
27,3,3
74,3,14
33,3,1
41,3,10
103,3,81
98,3,12
31,3,26
102,3,65
103,3,82
88,3,7
4,3,2
94,3,35
